"x"	"y"
1	1.0626251283323
2	1.18713838229141
3	1.30870023426344
4	1.42539350463979
5	1.53537779731925
6	1.63691852501334
7	1.72841426581693
8	1.80842201959718
9	1.87567996587679
10	1.92912736429164
11	1.96792128376827
12	1.99144989658151
13	1.99934212762869
14	1.99147350673938
15	1.96796813172282
16	1.92919671119315
17	1.8757707180395
18	1.8085327457481
19	1.72854321966875
20	1.63706367280554
21	1.535536849893
22	1.42556395354079
23	1.3088793913033
24	1.18732342194372
25	1.06281313229464
26	0.937312202445682
27	0.812799936098344
28	0.691240044517212
29	0.574549676393123
30	0.46456918205522
31	0.363033088887451
32	0.271542745702793
33	0.191541067507002
34	0.124289778957962
35	0.0708495154192093
36	0.0320630954384465
37	0.00854222846458012
38	0.00065786743891111
39	0.00853435841194851
40	0.0320474794535728
41	0.0708263997853418
42	0.124259528237018
43	0.191504158789981
44	0.271499761085463
45	0.362984706289986
46	0.464516164530566
47	0.574492860092717
48	0.691180325503847
49	0.812738256214157
50	0.937249534458154
51	1.06275046455485
52	1.18726174279884
53	1.30881967350915
54	1.42550713892028
55	1.53548383448243
56	1.63701529272301
57	1.72850023792754
58	1.80849584022302
59	1.87574047077598
60	1.92917359922766
61	1.96795251955943
62	1.99146564060105
63	1.99934213157409
64	1.99145777054842
65	1.96793690357455
66	1.92915048359379
67	1.87571022005504
68	1.808458931506
69	1.72845725331021
70	1.63696691012555
71	1.53543081695778
72	1.42545032261988
73	1.30875995449579
74	1.18720006291466
75	1.06268779656732
76	0.937186866718365
77	0.812676577069281
78	0.691120607709702
79	0.574436045472213
80	0.464463149120003
81	0.362936326207458
82	0.271456779344253
83	0.191467253264902
84	0.124229280973498
85	0.0708032878198516
86	0.0320318672901755
87	0.00852649227362299
88	0.000657871384313526
89	0.00855010243148665
90	0.0320787152447346
91	0.0708726347213623
92	0.124320033136208
93	0.191577979415818
94	0.271585733196072
95	0.36308147399966
96	0.464622201693754
97	0.574606494373206
98	0.691299764749562
99	0.812861616721595
100	0.937374870680702
